payroll,CH081801FIN,30042021,20520210732,,,,
FIV,20003221,,C,ERS,4/30/2021,ERS,443.85
FIV,20003234,,C,BAS,4/30/2021,EMP,294.15
FIV,20003234,,C,ERS,4/30/2021,ERS,588.3
FIV,20003243,,C,BAS,4/30/2021,EMP,221.925
FIV,20003243,,C,ERS,4/30/2021,ERS,443.85
FIV,20003246,,C,BAS,4/30/2021,EMP,354.825
FIV,20003246,,C,ERS,4/30/2021,ERS,709.65
FIV,20003252,,C,BAS,4/30/2021,EMP,237.975
FIV,20003252,,C,ERS,4/30/2021,ERS,475.95
FIV,20003255,,C,BAS,4/30/2021,EMP,246
FIV,20003255,,C,ERS,4/30/2021,ERS,492
FIV,20003264,,C,BAS,4/30/2021,EMP,319.125
FIV,20003264,,C,AVC,4/30/2021,EMP,319.125
FIV,20003264,,C,ERS,4/30/2021,ERS,638.25
FIV,20003276,,C,BAS,4/30/2021,EMP,354.825
FIV,20003276,,C,ERS,4/30/2021,ERS,709.65
FIV,20003291,,C,BAS,4/30/2021,EMP,302.175
FIV,20003291,,C,ERS,4/30/2021,ERS,604.35
FIV,20003317,,C,BAS,4/30/2021,EMP,438.75
FIV,20003317,,C,ERS,4/30/2021,ERS,877.5
FIV,20003318,,C,BAS,4/30/2021,EMP,302.175
FIV,20003318,,C,ERS,4/30/2021,ERS,604.35
FIV,20003374,,C,BAS,4/30/2021,EMP,310.2
FIV,20003374,,C,ERS,4/30/2021,ERS,620.4
FIV,20003419,,C,BAS,4/30/2021,EMP,294.15
FIV,20003419,,C,ERS,4/30/2021,ERS,588.3
FIV,20003424,,C,BAS,4/30/2021,EMP,191.225
FIV,20003424,,C,ERS,4/30/2021,ERS,382.45
FIV,20003442,,C,BAS,4/30/2021,EMP,286.125
FIV,20003442,,C,ERS,4/30/2021,ERS,572.25
FIV,20003526,,C,BAS,4/30/2021,EMP,294.15
FIV,20003526,,C,ERS,4/30/2021,ERS,588.3
FIV,20003527,,C,BAS,4/30/2021,EMP,278.1
FIV,20003527,,C,ERS,4/30/2021,ERS,556.2
FIV,20003537,,C,BAS,4/30/2021,EMP,294.15
FIV,20003537,,C,ERS,4/30/2021,ERS,588.3
FIV,20003554,,C,BAS,4/30/2021,EMP,433.375
FIV,20003554,,C,ERS,4/30/2021,ERS,866.75
FIV,20003569,,C,BAS,4/30/2021,EMP,286.125
FIV,20003569,,C,ERS,4/30/2021,ERS,572.25
FIV,20003571,,C,BAS,4/30/2021,EMP,302.175
FIV,20003571,,C,ERS,4/30/2021,ERS,604.35
FIV,20003577,,C,BAS,4/30/2021,EMP,278.1
FIV,20003577,,C,ERS,4/30/2021,ERS,556.2
FIV,20003578,,C,BAS,4/30/2021,EMP,278.1
FIV,20003578,,C,ERS,4/30/2021,ERS,556.2
FIV,20003584,,C,BAS,4/30/2021,EMP,400.65
FIV,20003584,,C,ERS,4/30/2021,ERS,801.3
FIV,20003598,,C,BAS,4/30/2021,EMP,381.6
FIV,20003598,,C,ERS,4/30/2021,ERS,763.2
FIV,20003606,,C,BAS,4/30/2021,EMP,354.825
FIV,20003606,,C,ERS,4/30/2021,ERS,709.65
FIV,20003607,,C,BAS,4/30/2021,EMP,182.575
FIV,20003607,,C,ERS,4/30/2021,ERS,365.15
FIV,20003725,,C,BAS,4/30/2021,EMP,213.9
FIV,20003725,,C,ERS,4/30/2021,ERS,427.8
FIV,20003734,,C,BAS,4/30/2021,EMP,294.15
FIV,20003734,,C,ERS,4/30/2021,ERS,588.3
FIV,20003735,,C,BAS,4/30/2021,EMP,363.75
FIV,20003735,,C,AVC,4/30/2021,EMP,363.75
FIV,20003735,,C,ERS,4/30/2021,ERS,727.5
FIV,20003745,,C,BAS,4/30/2021,EMP,294.15
FIV,20003745,,C,ERS,4/30/2021,ERS,588.3
FIV,20003757,,C,BAS,4/30/2021,EMP,319.125
FIV,20003757,,C,AVC,4/30/2021,EMP,319.125
FIV,20003757,,C,ERS,4/30/2021,ERS,638.25
FIV,20003759,,C,BAS,4/30/2021,EMP,294.15
FIV,20003759,,C,ERS,4/30/2021,ERS,588.3
FIV,20003763,,C,BAS,4/30/2021,EMP,354.825
FIV,20003763,,C,ERS,4/30/2021,ERS,709.65
FIV,20003766,,C,BAS,4/30/2021,EMP,294.15
FIV,20003766,,C,ERS,4/30/2021,ERS,588.3
FIV,20003773,,C,BAS,4/30/2021,EMP,294.15
FIV,20003773,,C,ERS,4/30/2021,ERS,588.3
FIV,20003776,,C,BAS,4/30/2021,EMP,302.175
FIV,20003776,,C,ERS,4/30/2021,ERS,604.35
FIV,20003783,,C,BAS,4/30/2021,EMP,205.875
FIV,20003783,,C,ERS,4/30/2021,ERS,411.75
FIV,20003793,,C,BAS,4/30/2021,EMP,286.125
FIV,20003793,,C,ERS,4/30/2021,ERS,572.25
FIV,20003797,,C,BAS,4/30/2021,EMP,254.025
FIV,20003797,,C,ERS,4/30/2021,ERS,508.05
FIV,20003798,,C,BAS,4/30/2021,EMP,354.825
FIV,20003798,,C,ERS,4/30/2021,ERS,709.65
FIV,20003800,,C,BAS,4/30/2021,EMP,400.65
FIV,20003800,,C,ERS,4/30/2021,ERS,801.3
FIV,20003826,,C,BAS,4/30/2021,EMP,363.75
FIV,20003826,,C,ERS,4/30/2021,ERS,727.5
FIV,20003832,,C,BAS,4/30/2021,EMP,363.75
FIV,20003832,,C,ERS,4/30/2021,ERS,727.5
FIV,20003836,,C,BAS,4/30/2021,EMP,372.675
FIV,20003836,,C,AVC,4/30/2021,EMP,372.675
FIV,20003836,,C,ERS,4/30/2021,ERS,745.35
FIV,20003844,,C,BAS,4/30/2021,EMP,286.125
FIV,20003844,,C,ERS,4/30/2021,ERS,572.25
FIV,20003851,,C,BAS,4/30/2021,EMP,294.15
FIV,20003851,,C,ERS,4/30/2021,ERS,588.3
